word,frequency
the,183212978
of,86859699
in,75290639
and,74708386
a,53698262
to,52250362
was,32540285
is,23812199
on,21691194
for,21634075
as,21126503
with,18605836
by,18143981
he,16395831
that,14608114
at,14470966
from,13716922
his,12708933
it,11862812
an,9988978
were,8516652
which,7655695
are,7321844
also,6466616
this,6427119
had,6236977
be,6147211
first,5897144
or,5763356
has,5757604
their,5204422
after,5177603
its,5013169
she,4935196
new,4896577
one,4886342
her,4856636
who,4706347
but,4667563
not,4514518
they,4426453
have,4112228
two,4098939
been,3866001
other,3524008
during,3434012
when,3345061
into,3056889
all,3039616
time,3020983
there,2959723
may,2873968
more,2695883
school,2639637
years,2608003
would,2604524
over,2585310
later,2518364
between,2473768
where,2469192
only,2456335
national,2396114
season,2377926
most,2358489
world,2344156
state,2298841
up,2289075
city,2286035
some,2256659
university,2245981
while,2220096
made,2217503
about,2207158
then,2205042
three,2202825
united,2187486
him,2179925
such,2174826
out,2145668
team,2130450
film,2103684
used,2092334
under,2087722
year,2053310
became,2050642
known,2039118
born,2038170
part,2033826
can,2023554
second,1987974
no,1967610
many,1949127
states,1933177
than,1920995
these,1917872
including,1917341
american,1906079
being,1904981
before,1877352
south,1847379
both,1847251
early,1846671
through,1838973
i,1832308
against,1815364
war,1809643
history,1798422
family,1722703
life,1719579
until,1717536
following,1704767
career,1699059
since,1691950
people,1682183
series,1680025
however,1674377
well,1655491
work,1654965
de,1623629
them,1619462
north,1605145
played,1584938
group,1572547
area,1568366
name,1566601
district,1546772
album,1542000
music,1538417
league,1537657
released,1510120
number,1497955
several,1491520
county,1482407
high,1476012
won,1453508
s,1447282
company,1446442
march,1429640
government,1410212
called,1388098
house,1385103
four,1382393
june,1374450
september,1367949
january,1363765
club,1361930
july,1361002
international,1341557
game,1337528
october,1335406
august,1320266
will,1314991
same,1311655
april,1297698
each,1296125
began,1278703
found,1278301
station,1275618
november,1260138
john,1254816
west,1252720
december,1244565
football,1235641
member,1228713
college,1227258
located,1209402
general,1206932
end,1202612
home,1202560
public,1202094
use,1195048
place,1194269
so,1192068
held,1190929
church,1185847
former,1184630
amp,1175086
due,1157204
song,1154987
now,1154615
population,1146855
named,1144890
took,1135086
town,1130281
york,1129599
february,1127211
party,1121486
served,1117456
day,1115320
around,1107925
if,1107142
system,1103579
river,1102967
british,1093168
line,1087773
east,1086776
local,1085622
age,1084197
because,1078679
received,1062516
did,1057852
final,1055454
games,1053339
service,1048638
along,1044574
could,1037459
any,1036107
best,1034669
based,1030410
another,1028289
century,1022406
back,1021957
within,1021380
members,1017406
building,1013308
species,1010553
built,1003243
death,1003005
village,988999
president,985388
like,983042
said,973299
major,972701
died,972131
left,958001
published,957034
show,953583
st,948078
include,946716
main,935454
third,928778
five,926610
although,924346
according,920167
included,916090
order,914056
division,912709
road,911830
u,911672
single,908587
education,906754
small,905268
park,901239
last,900277
set,899951
band,899936
c,898930
large,892784
long,888081
army,885613
those,883675
own,880049
book,875424
development,864404
law,858184
among,852669
still,846347
moved,844795
led,841906
list,838791
french,830430
times,826936
research,825521
us,818641
central,818285
council,818184
very,818066
million,815297
art,812525
election,810921
court,809314
son,799544
cup,798775
center,797969
community,797093
children,797041
often,796301
old,795269
top,793018
what,791708
late,785338
again,785227
english,785183
water,784265
side,783863
original,783836
play,782324
near,780577
different,776174
air,775715
country,770071
street,769301
record,767174
championship,767105
just,765769
great,763777
form,763338
announced,762961
political,760186
down,759938
german,759461
ii,755695
established,748580
award,747518
military,747130
title,744367
much,743624
off,743332
power,742411
started,741319
production,739665
having,738959
support,735944
london,734703
white,734468
period,731962
land,730153
role,726312
head,722956
even,720211
went,720126
region,714515
island,713784
m,711913
next,711338
came,709818
six,709020
office,708074
works,706869
king,706516
total,706024
worked,701214
joined,699992
television,698599
player,697063
western,694192
director,693785
given,692970
father,692257
association,691671
various,691624
black,690275
way,689415
make,689343
union,687518
using,686972
professional,680639
e,680214
described,678735
married,675748
do,672170
become,670884
women,667947
field,664602
returned,664186
produced,659295
business,657553
department,657212
england,652660
wrote,652307
social,648889
created,647782
royal,645892
students,644428
program,639535
european,639342
william,638120
point,638081
b,637396
young,633613
society,629941
without,628374
written,627434
open,627370
site,624670
you,622993
summer,621877
northern,621551
further,619792
act,619477
days,617560
lost,617383
round,616815
take,616731
continued,616603
railway,613093
few,612533
together,612375
force,612111
project,606653
founded,604499
services,602614
design,600629
radio,599731
position,597348
event,597306
southern,590987
men,588608
per,588523
though,587990
win,586939
india,585689
match,584085
man,582582
board,581679
france,580873
we,579601
australia,579569
considered,579131
live,578781
opened,577645
san,577331
route,577063
version,575622
video,574783
elected,573267
james,570969
appointed,569248
minister,568326
d,568259
release,567656
teams,567176
debut,567001
signed,565842
awards,564729
control,564716
la,564333
recorded,561968
hall,560063
george,559637
police,559291
run,558803
every,556988
battle,555292
women's,552461
california,551205
health,549466
language,548336
construction,546957
working,546372
level,546255
right,545040
areas,542163
important,541869
playing,541334
red,541078
formed,539623
appeared,539390
special,538636
once,538483
short,536621
records,535477
common,534225
making,534146
race,531536
forces,531019
case,531015
points,529406
similar,529313
others,526265
result,526137
lead,525819
popular,524078
events,523911
wife,523875
story,523766
museum,521200
personal,520920
style,520603
media,519134
originally,518528
lake,518445
addition,518237
developed,514850
how,513004
modern,512886
canada,512316
living,510650
indian,508725
average,507831
america,507439
example,506912
committee,505899
australian,504635
across,503125
songs,502633
science,501890
gt,499295
little,498907
track,498492
training,497637
free,495550
upon,495015
class,494719
lt,494274
coach,493712
human,493294
schools,493180
rock,491303
himself,489294
throughout,489289
despite,487087
players,486648
tour,485795
never,484435
eastern,482780
love,482721
information,482281
centre,481060
see,480716
good,479919
present,479354
tournament,478130
current,478059
away,474777
institute,473365
rights,472114
germany,471587
body,471311
seven,471214
province,470046
performance,468764
census,468680
david,468515
festival,468210
finished,468209
return,467338
sold,466760
eventually,465303
completed,462065
months,461680
study,460530
chief,460474
followed,459957
daughter,459814
gave,459531
currently,459428
stage,458922
sea,458846
official,456912
arts,452705
mother,450981
academy,450251
performed,449239
remained,449209
designed,448879
taken,448093
should,447499
civil,447486
europe,446707
studies,446657
china,446539
available,446271
features,446147
reported,444818
j,444757
half,443335
robert,443016
fire,442985
process,441467
less,441383
thomas,440913
range,440741
term,438659
competition,438643
federal,436694
leading,436608
light,433853
space,433779
character,432305
section,431901
private,431607
groups,430415
japanese,430041
instead,429812
refer,429605
washington,427829
championships,427549
includes,426368
front,426142
largest,425247
charles,425168
night,424781
directed,424542
network,424420
russian,424145
full,423812
help,423328
japan,422870
campaign,422051
my,421260
does,420895
g,420229
episode,420210
featured,419535
awarded,419122
conference,418648
uk,417194
gold,414319
go,414055
movement,413994
involved,413932
kingdom,413337
medical,413170
fourth,412828
sports,412174
chinese,411740
seen,411640
independent,411143
professor,410749
eight,410549
brother,410442
senior,410101
news,409480
studio,409445
countries,409353
stated,409177
grand,408637
previous,408006
thus,407347
sent,404809
books,404131
canadian,403960
films,403909
get,403502
degree,403288
model,403162
change,402631
able,401460
usually,400467
hospital,400378
r,400266
bank,400248
added,399706
middle,396572
republic,396372
replaced,396370
close,393866
either,393756
ten,393640
organization,391791
magazine,390661
coast,390390
capital,390131
killed,388028
previously,387888
green,387710
men's,387501
provided,386255
writing,385736
primary,385456
culture,384241
tv,384097
reached,384093
must,383433
above,383152
action,383121
lower,382942
week,382559
